Vp,gesch,age,herk,bildg,min,item,itemid,rat,typ
137,m,21,Schleswig,Abi,86,jemandem läuft ein Schauer über den Rücken,NH19_02,2,meto
137,m,21,Schleswig,Abi,86,sich unters Messer legen,NH19_07,4,meto
137,m,21,Schleswig,Abi,86,vor jemandes Nase stehen,NH19_08,3,meto
137,m,21,Schleswig,Abi,86,keine Papiere haben,NH19_09,3,meto
137,m,21,Schleswig,Abi,86,etwas nicht aus den Augen lassen,NH19_13,1,meto
137,m,21,Schleswig,Abi,86,jemandem schlägt das Herz bis zum Hals,NH19_18,1,meto
137,m,21,Schleswig,Abi,86,etwas aus eigener Tasche bezahlen,NH19_22,2,meto
137,m,21,Schleswig,Abi,86,die Nase rümpfen,NH19_25,2,meto
137,m,21,Schleswig,Abi,86,einen Luftsprung machen,NH19_27,2,meto
137,m,21,Schleswig,Abi,86,keinen Finger krümmen,NH20_02,1,meto
137,m,21,Schleswig,Abi,86,in den roten Zahlen sein,NH20_03,2,meto
137,m,21,Schleswig,Abi,86,kein Wort über die Lippen bringen,NH20_04,1,meto
137,m,21,Schleswig,Abi,86,das letzte Wort haben,NH20_08,1,meto
137,m,21,Schleswig,Abi,86,eine böse Zunge haben,NH20_09,1,meto
137,m,21,Schleswig,Abi,86,etwas unter vier Augen besprechen,NH20_14,3,meto
137,m,21,Schleswig,Abi,86,sich nicht wohl in seiner Haut fühlen,NH20_20,2,meto
137,m,21,Schleswig,Abi,86,große Augen machen,NH20_21,1,meto
138,m,22,Sachsen,Abi,93,mit leeren Händen kommen,NH14_01,2,meto
138,m,22,Sachsen,Abi,93,seine eigenen vier Wände haben,NH14_03,2,meto
138,m,22,Sachsen,Abi,93,auf den Beinen sein,NH14_04,2,meto
138,m,22,Sachsen,Abi,93,kein Auge zutun,NH14_10,3,meto
138,m,22,Sachsen,Abi,93,über alle Berge sein,NH14_16,1,meto
138,m,22,Sachsen,Abi,93,sich aufs Ohr legen,NH14_21,2,meto
138,m,22,Sachsen,Abi,93,in falsche Hände geraten,NH14_26,2,meto
138,m,22,Sachsen,Abi,93,die Finger von etwas lassen,NH14_27,2,meto
138,m,22,Sachsen,Abi,93,mit seinen Reizen spielen,NH14_28,2,meto
138,m,22,Sachsen,Abi,93,jemandem knurrt der Magen,NH14_29,2,meto
138,m,22,Sachsen,Abi,93,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
138,m,22,Sachsen,Abi,93,sich unters Messer legen,NH19_07,2,meto
138,m,22,Sachsen,Abi,93,vor jemandes Nase stehen,NH19_08,3,meto
138,m,22,Sachsen,Abi,93,keine Papiere haben,NH19_09,1,meto
138,m,22,Sachsen,Abi,93,etwas nicht aus den Augen lassen,NH19_13,3,meto
138,m,22,Sachsen,Abi,93,jemandem schlägt das Herz bis zum Hals,NH19_18,1,meto
138,m,22,Sachsen,Abi,93,etwas aus eigener Tasche bezahlen,NH19_22,2,meto
138,m,22,Sachsen,Abi,93,die Nase rümpfen,NH19_25,2,meto
138,m,22,Sachsen,Abi,93,einen Luftsprung machen,NH19_27,1,meto
138,m,22,Sachsen,Abi,93,keinen Finger krümmen,NH20_02,1,meto
138,m,22,Sachsen,Abi,93,in den roten Zahlen sein,NH20_03,2,meto
138,m,22,Sachsen,Abi,93,kein Wort über die Lippen bringen,NH20_04,3,meto
138,m,22,Sachsen,Abi,93,das letzte Wort haben,NH20_08,2,meto
138,m,22,Sachsen,Abi,93,eine böse Zunge haben,NH20_09,1,meto
138,m,22,Sachsen,Abi,93,etwas unter vier Augen besprechen,NH20_14,2,meto
138,m,22,Sachsen,Abi,93,sich nicht wohl in seiner Haut fühlen,NH20_20,1,meto
138,m,22,Sachsen,Abi,93,große Augen machen,NH20_21,1,meto
140,m,28,Hamburg,Abi,7,mit leeren Händen kommen,NH14_01,3,meto
140,m,28,Hamburg,Abi,7,seine eigenen vier Wände haben,NH14_03,1,meto
140,m,28,Hamburg,Abi,7,auf den Beinen sein,NH14_04,2,meto
140,m,28,Hamburg,Abi,7,kein Auge zutun,NH14_10,2,meto
140,m,28,Hamburg,Abi,7,über alle Berge sein,NH14_16,1,meto
