Vp,gesch,age,herk,bildg,min,item,itemid,rat,typ
72,w,21,Bremen,Abi,78,01 ein Fels in der Brandung sein,NH14_01,1,meta
72,w,21,Bremen,Abi,78,03 jemandem den Marsch blasen,NH14_03,1,meta
72,w,21,Bremen,Abi,78,04 jemanden in der Luft zerreißen,NH14_04,1,meta
72,w,21,Bremen,Abi,78,05 keinen Spaß verstehen,NH14_05,4,woe
72,w,21,Bremen,Abi,78,06 etwas aus dem Ärmel schütteln,NH14_06,1,meta
72,w,21,Bremen,Abi,78,08 etwas an die Öffentlichkeit bringen,NH14_08,2,woe
72,w,21,Bremen,Abi,78,09 auf jemanden ist kein Verlass,NH14_09,4,woe
72,w,21,Bremen,Abi,78,10 einen grünen Daumen haben,NH14_10,2,meta
72,w,21,Bremen,Abi,78,11 jemandem die Vorfahrt nehmen,NH14_11,4,woe
72,w,21,Bremen,Abi,78,12 sich nicht von der Stelle rühren,NH14_12,4,woe
72,w,21,Bremen,Abi,78,13 einen Rausch haben,NH14_13,3,woe
72,w,21,Bremen,Abi,78,15 jemandem Gesellschaft leisten,NH14_15,4,woe
72,w,21,Bremen,Abi,78,16 jemanden übers Ohr hauen,NH14_16,1,meta
72,w,21,Bremen,Abi,78,17 auf der Durchreise sein,NH14_17,4,woe
72,w,21,Bremen,Abi,78,18 keine Chance haben,NH14_18,3,woe
72,w,21,Bremen,Abi,78,19 Folgerungen ziehen,NH14_19,2,woe
72,w,21,Bremen,Abi,78,20 ein ungeschriebenes Gesetz sein,NH14_20,1,woe
72,w,21,Bremen,Abi,78,21 bei jemandem fällt der Groschen,NH14_21,1,meta
72,w,21,Bremen,Abi,78,22 in Führung gehen (beim Sport),NH14_22,2,woe
72,w,21,Bremen,Abi,78,23 jemandem Unrecht tun,NH14_23,4,woe
72,w,21,Bremen,Abi,78,24 zur Debatte stehen,NH14_24,2,woe
72,w,21,Bremen,Abi,78,25 etwas aus Prinzip tun,NH14_25,4,woe
72,w,21,Bremen,Abi,78,26 das fünfte Rad am Wagen sein,NH14_26,1,meta
72,w,21,Bremen,Abi,78,27 unter Druck geraten,NH14_27,1,meta
72,w,21,Bremen,Abi,78,28 nicht im Hause sein,NH14_28,4,woe
72,w,21,Bremen,Abi,78,29 die Pferde scheu machen,NH14_29,1,meta
72,w,21,Bremen,Abi,78,30 etwas in aller Deutlichkeit sagen,NH14_30,4,woe
